Alloy,Series,Temper,Form,Processing,Al_wt,Cu_wt,Fe_wt,Mg_wt,Mn_wt,Si_wt,Ti_wt,Zn_wt,Cr_wt,Others_wt,Density_g_cm3,UTS_MPa,YS_MPa,Elongation_pct,Hardness_HB,Modulus_GPa,Source
1050A,1xxx,O,Sheet,Wrought,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,76.0,28.0,43.0,21.0,69.0,[1]
1050A,1xxx,H12,Sheet,Wrought,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,110.0,90.0,12.0,28.0,69.0,[1]
1050A,1xxx,H14,Sheet,Wrought,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,125.0,85.0,9.0,28.0,69.0,[1]
1050A,1xxx,H16,Sheet,Cold Worked,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,140.0,120.0,5.0,33.0,69.0,[2]
1050A,1xxx,H18,Sheet,Cold Worked,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,145.0,130.0,5.0,35.0,69.0,[1]
1050A,1xxx,H14,Wire,Cold Worked,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,100.0,70.0,6.0,30.0,69.0,[1]
1050A,1xxx,O,Plate,Wrought,99.05000000000001,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,80.0,27.0,40.0,21.0,69.0,[2]
1100,1xxx,O,Sheet,Wrought,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,89.0,34.0,35.0,23.0,69.0,[2]
1100,1xxx,H12,Sheet,Cold Worked,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,110.0,103.0,12.0,28.0,69.0,[2]
1100,1xxx,H14,Sheet,Cold Worked,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,124.0,117.0,9.0,32.0,69.0,[2]
1100,1xxx,H16,Sheet,Cold Worked,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,145.0,138.0,6.0,38.0,69.0,[2]
1100,1xxx,H18,Sheet,Cold Worked,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,165.0,152.0,5.0,44.0,69.0,[2]
1100,1xxx,O,Bar,Wrought,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,90.0,34.0,35.0,23.0,69.0,[2]
1100,1xxx,H14,Rod,Cold Worked,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,131.0,124.0,10.0,32.0,69.0,[5]
1100,1xxx,H14,Tube,Cold Worked,98.93,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,124.0,117.0,9.0,32.0,69.0,[5]
1200,1xxx,O,Sheet,Wrought,98.70000000000002,0.05,0.5,0.0,0.05,0.5,0.05,0.1,0.0,0.05,2.7,87.0,34.0,35.0,23.0,69.0,[1]
1200,1xxx,H14,Sheet,Cold Worked,98.70000000000002,0.05,0.5,0.0,0.05,0.5,0.05,0.1,0.0,0.05,2.7,120.0,103.0,10.0,30.0,69.0,[1]
1200,1xxx,H18,Foil,Cold Worked,98.70000000000002,0.05,0.5,0.0,0.05,0.5,0.05,0.1,0.0,0.05,2.7,165.0,145.0,2.0,44.0,69.0,[1]
1200,1xxx,O,Extrusion,Wrought,98.70000000000002,0.05,0.5,0.0,0.05,0.5,0.05,0.1,0.0,0.05,2.7,85.0,30.0,38.0,22.0,69.0,[2]
1350,1xxx,O,Wire,Wrought,99.33,0.05,0.4,0.0,0.01,0.1,0.02,0.05,0.01,0.03,2.7,83.0,28.0,23.0,17.0,69.0,[2]
