Alloy,Series,Temper,Form,Processing,Al_wt,Cu_wt,Fe_wt,Mg_wt,Mn_wt,Si_wt,Ti_wt,Zn_wt,Cr_wt,Others_wt,Density_g_cm3,UTS_MPa,YS_MPa,Elongation_pct,Hardness_HB,Modulus_GPa,Source
1050A,1xxx,O,Sheet,Wrought,99.5,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,76,28,43.0,21,69.0,[1]p152
1050A,1xxx,H14,Sheet,Wrought,99.5,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,125,85,9.0,28,69.0,[1]p152
1050A,1xxx,H18,Sheet,Wrought,99.5,0.05,0.4,0.05,0.05,0.25,0.05,0.07,0.0,0.03,2.71,145,130,5.0,35,69.0,[1]p152
1100,1xxx,O,Sheet,Wrought,99.0,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,89,34,35.0,23,69.0,"[1]p154,[2]"
1100,1xxx,H12,Sheet,Wrought,99.0,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,110,103,12.0,28,69.0,"[1]p154,[2]"
1100,1xxx,H14,Sheet,Wrought,99.0,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,124,117,9.0,32,69.0,"[1]p154,[2]"
1100,1xxx,H16,Sheet,Wrought,99.0,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,145,138,6.0,38,69.0,[2]
1100,1xxx,H18,Sheet,Wrought,99.0,0.12,0.5,0.0,0.05,0.25,0.0,0.1,0.0,0.05,2.71,165,152,5.0,44,69.0,"[1]p154,[2]"
1200,1xxx,O,Sheet,Wrought,99.0,0.05,0.5,0.0,0.05,0.5,0.05,0.1,0.0,0.05,2.7,87,34,35.0,23,69.0,[1]p156
1200,1xxx,H14,Sheet,Wrought,99.0,0.05,0.5,0.0,0.05,0.5,0.05,0.1,0.0,0.05,2.7,120,103,10.0,30,69.0,[1]p156
1350,1xxx,O,Wire,Wrought,99.5,0.05,0.4,0.0,0.01,0.1,0.02,0.05,0.01,0.03,2.7,83,28,23.0,17,69.0,"[1]p160,[2]"
1350,1xxx,H14,Wire,Wrought,99.5,0.05,0.4,0.0,0.01,0.1,0.02,0.05,0.01,0.03,2.7,110,97,5.0,30,69.0,[2]
1350,1xxx,H19,Wire,Wrought,99.5,0.05,0.4,0.0,0.01,0.1,0.02,0.05,0.01,0.03,2.7,186,165,1.5,55,69.0,[1]p160
2011,2xxx,T3,Bar,Wrought,93.7,5.5,0.7,0.0,0.0,0.4,0.0,0.3,0.0,0.8,2.83,379,296,15.0,95,70.3,"[1]p148,[2]"
2011,2xxx,T6,Rod,Wrought,93.7,5.5,0.7,0.0,0.0,0.4,0.0,0.3,0.0,0.8,2.83,370,270,6.0,110,70.3,[1]p148
2011,2xxx,T8,Bar,Wrought,93.7,5.5,0.7,0.0,0.0,0.4,0.0,0.3,0.0,0.8,2.83,407,310,12.0,100,70.3,[2]
2014,2xxx,O,Sheet,Wrought,93.5,4.4,0.5,0.5,0.8,0.8,0.15,0.25,0.1,0.05,2.8,186,97,18.0,45,73.1,"[2],[3]"
2014,2xxx,T4,Sheet,Wrought,93.5,4.4,0.5,0.5,0.8,0.8,0.15,0.25,0.1,0.05,2.8,427,290,20.0,105,73.1,"[2],[3]"
2014,2xxx,T6,Extrusion,Wrought,93.5,4.4,0.5,0.5,0.8,0.8,0.15,0.25,0.1,0.05,2.8,483,414,13.0,135,73.1,"[1]p147,[2]"
2014,2xxx,T6,Rod,Wrought,93.5,4.4,0.5,0.5,0.8,0.8,0.15,0.25,0.1,0.05,2.8,460,400,6.0,125,73.1,[1]p147
2014,2xxx,T651,Plate,Wrought,93.5,4.4,0.5,0.5,0.8,0.8,0.15,0.25,0.1,0.05,2.8,483,414,13.0,135,73.1,[2]
2017,2xxx,T4,Bar,Wrought,93.7,4.0,0.5,0.6,0.7,0.5,0.0,0.25,0.1,0.05,2.79,427,276,22.0,105,72.4,[2]
2017,2xxx,O,Sheet,Wrought,93.7,4.0,0.5,0.6,0.7,0.5,0.0,0.25,0.1,0.05,2.79,179,69,22.0,45,72.4,[2]
2024,2xxx,O,Sheet,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,186,76,20.0,47,73.1,"[2],[3]"
2024,2xxx,T3,Sheet,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,483,345,18.0,120,73.1,"[2],[3]"
2024,2xxx,T4,Sheet,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,469,324,19.0,120,73.1,[2]
2024,2xxx,T351,Plate,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,469,324,19.0,120,73.1,[2]
2024,2xxx,T361,Sheet,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,496,393,11.0,130,73.1,[2]
2024,2xxx,T81,Sheet,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,483,448,6.0,128,73.1,[2]
2024,2xxx,T861,Sheet,Wrought,93.5,4.4,0.5,1.5,0.6,0.5,0.15,0.25,0.1,0.05,2.78,517,490,6.0,135,73.1,[2]
2124,2xxx,T851,Plate,Wrought,93.5,4.4,0.2,1.5,0.6,0.2,0.15,0.25,0.1,0.05,2.78,483,441,8.0,130,73.1,[2]
2219,2xxx,O,Sheet,Wrought,93.0,6.3,0.3,0.02,0.3,0.2,0.06,0.1,0.0,0.18,2.84,172,76,18.0,37,73.1,[2]
2219,2xxx,T62,Sheet,Wrought,93.0,6.3,0.3,0.02,0.3,0.2,0.06,0.1,0.0,0.18,2.84,414,290,10.0,110,73.1,[2]
2219,2xxx,T81,Sheet,Wrought,93.0,6.3,0.3,0.02,0.3,0.2,0.06,0.1,0.0,0.18,2.84,455,352,10.0,118,73.1,[2]
2219,2xxx,T87,Sheet,Wrought,93.0,6.3,0.3,0.02,0.3,0.2,0.06,0.1,0.0,0.18,2.84,476,393,10.0,128,73.1,[2]
2618,2xxx,T61,Forging,Wrought,93.7,2.3,1.1,1.5,0.0,0.18,0.07,0.1,0.0,1.1,2.76,441,372,10.0,115,74.5,[2]
3003,3xxx,O,Sheet,Wrought,98.6,0.12,0.7,0.0,1.2,0.6,0.0,0.1,0.0,0.05,2.73,110,41,30.0,28,69.0,[2]
